#  at z=1.31
## model       best  med   med-  med+  postFF  parametric  strong+weak  postSN 
#Sharon(v1)    2.53  2.57  2.41  2.75    0          1           0         0    
#Sharon(v2)    2.73  2.69  2.63  2.83    0          1           0         0    
#CATS          2.25  2.27  2.23  2.32    0          1           0         0    
#CATS(S+W)     -1.0  2.62  2.44  2.80    0          1           1         0    
#Jauzac        -1.0  3.37  3.22  3.51    1          1           0         0    
#GLAFIC        2.32  2.28  2.17  2.35    1          1           0         0    
#Zitrin-NFW    2.07  2.27  2.05  2.50    0          1           0         0    
#Zitrin-LTM    2.64  2.96  2.58  3.73    0          1           0         0    
#Bradac(v1)    3.15  2.45  2.29  2.64    0          0           1         0    
#Bradac(v2)    2.21  2.23  2.20  2.28    1          0           1         1    
#Williams      2.67  2.78  1.64  5.46    0          0           0         0    
#Merten        2.31  2.22  2.03  2.89    0          0           1         0    
#Lam           -1.0  2.77  2.41  3.13    1          0           0         0    
#Diego         -1.0  1.80  1.44  2.16     1          0           0         1    
#
# at z=1.3457
# model         best  med   med-  med+   postFF  parametric  strong+weak  postSN 
Sharon(v1)      2.56  2.60  2.44  2.78     0          1           0         0    
Sharon(v2) 	    2.74  2.59  2.42  2.85     0          1           0         0
CATS(v1)        2.28  2.29  2.25  2.34     0          1           0         0    
CATS(v1sw)   -1.0   2.62  2.44  2.80     0          1           1         0    
CATS(v2)       -1.0   3.42  3.27  3.58     1          1           0         0    
GLAFIC          2.34  2.29  2.19  2.37     1          1           0         0    
Zitrin-NFW      2.09  2.29  2.07  2.52     0          1           0         0    
Zitrin-LTM      2.67  2.99  2.61  3.77     0          1           0         0    
Bradac(v1)      3.19  2.48  2.31  2.66     0          0           1         0    
Bradac(v2)      2.23  2.26  2.30  2.23     1          0           1         0    
Williams        2.70  2.81  1.65  5.54     0          0           0         0    
Merten          2.33  2.24  2.04  2.92     0          0           1         0    
Lam            -1.0   2.79  2.42  3.16     1          0           0         0    
Diego          -1.0   1.80  1.44  2.16     1          0           0         1    
